train,test,model,median,p95,max,mean,n
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,3.647,6.134,8.961,3.739,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,8.25,13.338,26.366,8.149,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,7.828,12.173,14.724,7.733,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,7.919,12.348,14.167,7.761,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,3.772,7.228,25.922,4.046,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,3.368,5.767,9.575,3.418,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,3.4,6.444,9.852,3.583,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,6.049,10.746,26.752,6.274,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,5.605,9.982,16.491,5.775,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,5.843,10.393,18.335,6.075,1485
